,title,date,authority,link,desc
1,نظر مشورتي 7/1401/151 مورخ 1401/03/16 اداره كل حقوقي قوه قضائيه,1401/03/16,اداره کل حقوقی قوه قضائیه,https://qavanin.ir/Law/TreeText/299052,استعلام : وفق آراء وحدت رويه شماره ۷۳۳ مورخ 15/7/1393 و ۸۱۱ مورخ 1/4/1400 هيأت عمومي ديوان عالي كشور، در فرض مستحق للغير درآمدن مبيع و عدم اجازه مالك، بايع فضولي مكلف به جبران خسارت بر اساس ارزش روز مبيعي است كه مستحق للغير درآمده است. چنانچه به رغم انعقاد بيع تمام يا قسمتي از ثمن معامله پرداخت نشده باشد، آيا صدور حكم به پرداخت ارزش روز معامله عليه فروشنده اي كه ثمني به صورت جزئي يا كلي دريافت نداشته است، منطبق با آراء وحدت رويه يادشده تشخيص داده مي شود يا چنانچه ثمن به صورت كامل پرداخت نشده باشد، به نسبت ميزاني كه پرداختي صورت نگرفته است بايد از ارزش روز مبيع كاسته شود؛ به عنوان مثال، چنانچه ثمن پرداختي معامله به ميزان پانصد ميليون تومان از يك ميليارد تومان باشد و در حال حاضر ارزش روز مبيع كه مستحق للغير درآمده است، مبلغ ده ميليارد تومان باشد، با توجه به عدم پرداخت نيمي از ثمن معامله، بايع فضولي بايد نسبت به پرداخت مبلغ پنج ميليارد تومان اقدام كند يا بايد كل مبلغ ده ميليارد تومان را پرداخت كند؟ نظريه مشورتي اداره كل حقوقي قوه قضاييه : در آراي وحدت رويه شماره 733 مورخ 15/7/1393 و 811 مورخ 1/4/1400 هيأت عمومي ديوان عالي كشور، خريدار جاهل به مستحق للغير بودن مبيع (فساد بيع) مستحق دريافت غرامت ناشي از كاهش ارزش ثمن پرداختي است؛ دادگاه ميزان غرامت را مطابق عمومات ناظر بر ميزان خسارت در ديون پولي (دعاوي مسؤوليت مدني) و بر اساس ميزان افزايش قيمت (تورم) اموالي كه از نظر نوع و اوصاف مشابه همان مبيع هستند، تعيين مي كند. بديهي است در تعيين ميزان غرامت يادشده، آنچه ملاك تعيين است، ميزان ثمن پرداختي توسط خريدار است و چنانچه وي بخشي از ثمن را به هر دليلي پرداخت نكرده باشد، ميزان پرداختي ملاك محاسبه غرامت يادشده است و در صورت عدم پرداخت كل ثمن نيز محاسبه اين بخش از غرامت و محكوميت بايع به پرداخت آن منتفي است.
2,نظر مشورتي 7/1400/1767 مورخ 1401/03/16 اداره كل حقوقي قوه قضائيه,1401/03/16,اداره کل حقوقی قوه قضائیه,https://qavanin.ir/Law/TreeText/299049,استعلام : چنانچه پس از صدور دستور ضبط وثيقه و قطعيت آن، كليه تشريفات قانوني در مورد ملك مورد وثيقه از سوي شعبه اجرا انجام و عمليات مزايده به لحاظ عدم اعتراض وثيقه گذار (عليرغم ابلاغ) برگزار و متعاقب آن و پس از انجام مزايده در نهايت عمليات مذكور توسط دادگاه تاييد شود و سند ملك مورد وثيقه به نام خريدار منتقل و به ايادي بعدي نيز انتقال يابد اما متعاقب آن وثيقه گذار نسبت به انجام عمليات مزايده معترض و دستور ضبط وثيقه سابق الصدور توسط دادگاه نقض گردد؛ لذا در اين خصوص تكليف چيست وضعيت وثيقه گذار چگونه است و آيا امكان رفع اثر از وثيقه و عمليات مزايده وجود دارد يا خير؟ نظريه مشورتي اداره كل حقوقي قوه قضاييه : اولاً، احكام قانوني مترتب بر اعتراض نسبت به صحت جريان مزايده متفاوت از اعتراض به دستور ضبط وثيقه است و هر كدام در بازه زماني مشخصي قابليت طرح و رسيدگي دارد و طرح هر يك از اين نوع اعتراض ها موجبات قانوني ورود مرجع رسيدگي كننده به صحت يا سقم فرآيند ديگر را به همراه ندارد. ثانياً، صرف نظر از مراتب فوق و مبهم بودن استعلام، پرسش مطرح شده نشأت گرفته از ابهام در مقررات نبوده و تشخيص مصداق و تطبيق احكام قانوني بر مصاديق خارجي بر عهده مرجع رسيدگي كننده است.
3,مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص گزارش دبيرخانه شوراي عالي پيرامون پديده فرونشست و نحوه اقدام,1401/03/16,شوراي عالي شهرسازي و معماري ايران,https://qavanin.ir/Law/TreeText/299698,"مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص گزارش دبيرخانه شوراي عالي پيرامون پديده فرونشست و نحوه اقدام مصوب 1401,03,16 با اصلاحات و الحاقات بعدي شوراي عالي شهرسازي و معماري ايران در جلسه مورخ 16 /3 /1401 گزارش دبيرخانه شوراي عالي در خصوص وقوع برخي از اراضي مورد نياز قانون جهش توليد مسكن بر روي عرصه‌ هاي در معرض فرونشست را استماع و پيرو مفاد مصوبه مورخ 8 /9 /1400 خود مقرر نمود: در اجراي بند ۴ از قسمت «ض» ماده ۱۴ قانون مديريت بحران كشور، مركز تحقيقات راه، مسكن و شهرسازي به عنوان متولي قانوني نقشه‌ هاي مناطق و زون‌ هاي با خطر فروريزش و فرونشست در سطح كشور، تهيه شده توسط سازمان نقشه ‌برداري كشور را با همكاري كليه مراجع علمي و تخصصي مرتبط و با اولويت حوزه‌ هاي شهري (حريم و محدوده شهرها)، حداكثر ظرف مدت يك ماه مورد ارزيابي و تدقيق نهايي قرار داده و به كليه مراجع مربوطه ابلاغ نمايد. همچنين لازم است در اجراي تكليف مذكور، مركز تحقيقات راه، مسكن و شهرسازي نحوه اقدام در پهنه‌ هاي مذكور و امكان سنجي و چگونگي توسعه شهري و ساخت و ساز و حسب مورد تدابير مهندسي لازم در مواجهه با اين پديده را در قالب ضوابط مشخص اجرايي ارائه نمايد. تبعاً تا تدقيق و ابلاغ پهنه‌ ها و ضوابط مذكور، موارد حسب مورد از مركز تحقيقات استعلام خواهد شد. مراتب جهت استحضار و صدور دستور انعكاس و اقدام و اعلام نتيجه به استحضار مي‌ رسد. معاون شهرسازي و معماري و دبير شوراي عالي شهرسازي و معماري ايران ـ فرزانه صادق‌ مالواجرد"
4,مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص تصويب نهايي مغايرت اساسي تغيير كاربري 4 /21 هكتار اراضي زراعي و سبز به مسكوني ناخالص و تغيير كاربري 9 /11 هكتار از مسكوني به زراعي در شهر درگز,1401/03/16,شوراي عالي شهرسازي و معماري ايران,https://qavanin.ir/Law/TreeText/299699,"مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص تصويب نهايي «مغايرت اساسي تغيير كاربري 4 /21 هكتار اراضي زراعي و سبز به مسكوني ناخالص و تغيير كاربري 9 /11 هكتار از مسكوني به زراعي در شهر درگز» مصوب 1401,03,16 با اصلاحات و الحاقات بعدي شوراي عالي شهرسازي و معماري ايران در جلسه مورخ 16 /3 /1401 «مغايرت اساسي تغيير كاربري 4 /21 هكتار اراضي زراعي و سبز به مسكوني ناخالص و تغيير كاربري 9 /11 هكتار از مسكوني به زراعي در شهر درگز»، موضوع مصوبه مورخ 12 /4 /1395 شوراي برنامه ‌ريزي و توسعه استان خراسان رضوي را به تصويب نهايي رساند. ضمناً به آگاهي مي‌ رساند، كليه مصوبات شوراي عالي شهرسازي و معماري ايران در خصوص طرحهاي جامع از جمله ضوابط و مقررات و نيز نقشه ‌هاي مربوطه، در سايت www.archive.mrud.ir بارگذاري مي‌ گردد معاون شهرسازي و معماري و دبير شوراي عالي شهرسازي و معماري ايران ـ فرزانه صادق ‌مالواجرد"
5,مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص طرح جامع شهر جديد گلمان,1401/03/16,شوراي عالي شهرسازي و معماري ايران,https://qavanin.ir/Law/TreeText/299700,"مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص طرح جامع شهر جديد گلمان مصوب 1401,03,16 با اصلاحات و الحاقات بعدي شوراي عالي شهرسازي و معماري ايران در جلسه مورخ 16 /3 /1401 طرح جامع شهر جديد گلمان مصوب مورخ 23 /10 /1400 شوراي برنامه ‌ريزي و توسعه استان آذربايجان غربي را با عنايت به صورتجلسه مورخ 25 /2 /1401 كميته فني شماره يك (در چارچوب تعيين شده در مصوبه مورخ 16 /4 /1399 شوراي عالي) مورد بررسي قرار داده و به شرح زير اتخاذ تصميم نمود: سقف جمعيت و افق طرح ۱ ـ با عنايت به بند ۱ ـ 3 مصوبه مورخ 16 /4 /1399 شوراي عالي و اعلام نظر شركت مديريت منابع آب در زمينه ميزان آب قابل تخصيص (موضوع نامه شماره 8218 /279 /1398 /02 مورخ 6 /4 /1398 شركت مذكور) ظرفيت جمعيت‌ پذيري شهر جديد گلمان براي افق ۱۴۲۰ با بازنگري در پهنه‌ هاي تراكمي ساختماني شهر به ۱۸۰ هزار نفر تعديل مي‌شود. محدوده شهر و كاربري اراضي آن 2 ـ كليه كاربري ‌هاي خدماتي بالاتر از مقياس محله در سند كاربري اراضي پيشنهادي طرح با كنترل اداره كل راه و شهرسازي استان و تأييد دبيرخانه شوراي عالي تدقيق شود. بديهي است اعمال مصوبات قبلي كميسيون ماده ۵ در سند مذكور ضروريست. ۳ ـ محدوده مصوب در شوراي برنامه‌ ريزي و توسعه استان با اعمال يك مورد اصلاحات به شرح زير مورد تأييد قرار گرفت: • حذف اراضي زراعي و باغي مرغوب الحاق شده به محدوده در چند مورد در جنوب و جنوب غرب شهر (بشرح نقشه پيوست) با عنايت به مغايرت صريح با بند 3 ـ ۴ مصوبه شوراي عالي و عدم وجود هرگونه ضرورت فني و تكافوي اراضي منابع ملي و عمومي براي نياز شهر جديد تبصره- با حذف اين اراضي شبكه معابر پيشنهادي شهر در اين بخش ‌ها با كنترل اداره كل راه و شهرسازي و تأييد دبيرخانه شوراي عالي اصلاح خواهد شد ۴ ـ بستر و حرايم مسيل‌ ها و رودخانه‌ هايي كه در تداخل با محدوده و حريم شهر قرار دارند، مجدداً از اداره كل آب منطقه ‌اي استان استعلام گردد و نقشه و ضوابط استقرار اعلام شده توسط آن مرجع در كليه اسناد طرح جامع (محدوده و حريم) درج شود. ۵ ـ سند جمع‌ آوري آب ‌هاي سطحي با تأكيد بر كنترل روان آب ‌هاي واقع در محدوده و عرصه ‌هاي فرادست شمالي به عنوان سند پشتيبان در اسناد طرح جامع ارايه گردد. سند پهنه ‌بندي حريم شهر ۶ ـ خط حريم مصوب در شوراي برنامه‌ ريزي و توسعه استان با اعمال دو مورد اصلاح به شرح زير مورد تأييد قرار گرفت: • حذف عرصه واقع در حريم ۱۰۰۰ متري پارك ملي درياچه اروميه از حريم شهر • مرز حريم محل تلاقي با بافت موجود روستاهاي واقع درحريم به نحوي اصلاح شود كه كل محدوده روستا (در حد طرح هادي) در حريم شهر واقع شود. ۷ ـ با عنايت به وجود ارتفاعات در شمال شهر، پهنه‌ ي عرصه شمالي شهر به ""حفاظت آبخيزداري"" تغيير يافته و ضوابط استقرار فعاليت در آن متناسب با اين مأموريت ارائه شود. ۸ ـ عرصه و حريم محوطه‌ هاي تاريخي (باستاني) احتمالي واقع در حريم شهر بر اساس استعلام از اداره كل ميراث فرهنگي، گردشگري و صنايع دستي استان ارائه شود. 9 ـ كليه عوارض خطي شامل شبكه معابر و حرايم آن، خطوط انتقال آب نيرو و حامل انرژي، حريم و بستر رودخانه و مسيل‌ هاي موجود در حريم شهر منعكس شود. 10 ـ به جهت تقويت نقش گردشگري شهر جديد گلمان، دسترسي به شبكه ريلي داراي ضرورت و توجيه فني و اقتصادي است، از اين رو مقرر مي ‌شود با هماهنگي شركت راه ‌آهن و با هماهنگي شركت عمران شهرهاي جديد و اداره كل راه و شهرسازي استان پيشنهاد اوليه"" موقعيت ايستگاه راه ‌آهن گلمان و مسير مربوطه"" به تصويب كميته مكان ‌يابي ايستگاه‌ هاي راه‌ آهن رسيده و در اسناد طرح جامع منعكس شود. ۱۱ ـ ""سند حمل و نقل همگاني"" با توجه فرصت‌ هاي توسعه در شهر جديد شهر گلمان به نحوي ارائه شود كه ايستگاه مركزي حمل و نقل همگاني (TOD) و خطوط حمل و نقل عمومي و نحوه اتصال مقاصد مسافرت‌ هاي درون شهري و ميان شهري با اروميه و ايستگاه راه‌ آهن و مسير گردشگري ساحلي درياچه اروميه در آن مشخص شود. ۱۲ ـ عناوين و محورهاي ۲۲ گانه مطالعات پدافند غيرعامل شهر با مصوبه مورخ 11 /2 /1396 هماهنگ شود. ۱۳ ـ با عنايت به اينكه يكي از تهديدات پيش روي شهر در آتي، تبعات زيست‌ محيطي مربوط به عقب رفتگي درياچه اروميه است، با هماهنگي مراجع استاني مرتبط (سازمان حفاظت محيط زيست، سازمان مديريت بحران، سازمان پدافند غيرعامل، شهرداري و اداره كل راه و شهرسازي استان و شركت آب منطقه اي) پيشنهادات مشخص اجرائي در جهت تعديل تبعات ناشي از اين پديده متناسب با خروجيهاي طرح جامع ارائه و در اسناد منعكس شود. ۱۴ ـ چنانچه در عرصه‌ هاي اضافه شده به حريم مصوب قبلي (حريم اروميه) شهرك يا ناحيه صنعتي مصوب موجود باشد، با اعلام شركت شهرك ‌هاي صنعتي از حريم شهر حذف شود. مراتب جهت استحضار و صدور دستور انعكاس و اقدام اعلام مي ‌شود. خواهشمند است دراجراي ماده ۴۲ آيين ‌نامه نحوه بررسي طرحها و ضوابط و مقررات شهرسازي و معماري دستور فرماييد مدارك طرح پس از اصلاح جهت ابلاغ به مراجع ذيربط در اختيار دبيرخانه شوراي عالي قرار گيرد. معاون شهرسازي و معماري و دبير شوراي عالي شهرسازي و معماري ايران ـ فرزانه صادق‌ مالواجرد"
6,مصوبه شوراي عالي شهرسازي و معماري ايران درخصوص اراضي 147 هكتاري موسوم به برم شاهين شهر,1401/03/16,شوراي عالي شهرسازي و معماري ايران,https://qavanin.ir/Law/TreeText/299701,"مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص اراضي ۱۴۷ هكتاري موسوم به برم شاهين شهر مصوب 1401,03,16 با اصلاحات و الحاقات بعدي شوراي عالي شهرسازي و معماري ايران در جلسه مورخ 16 /3 /1401 مصوبه مورخ 26 /12 /1399 شوراي برنامه ‌ريزي و توسعه استان اصفهان در خصوص مغايرت اساسي الحاق ۱۴۷ هكتار اراضي شرق (هسا) با مالكيت سازمان ملي زمين و مسكن به محدوده شهر شاهين‌ شهر در جهت تامين اراضي مورد نياز نهضت ملي مسكن را با توجه به صورتجلسه مورخ 1 /3 /1401 كميته فني شماره يك مورد بررسي قرار داده و مقرر نمود: الف ـ با عنايت به تعارض آراي اعلامي از سوي جهاد كشاورزي استان، مقرر شد نظر نهايي وزارت جهاد كشاورزي در خصوص نوعيت اراضي و امكان ساخت و ساز در آنها اخذ شود. ب ـ در اجراي بند 4 قسمت ""ض"" ماده 14 قانون مديريت بحران كشور، نظر مركز تحقيقات راه، مسكن و شهرسازي در خصوص ميزان تداخل عرصه مورد نظر با پهنه در معرض فرونشست و نحوه اقدام در اين اراضي اخذ شود. ج ـ با توجه به اينكه اراضي مورد نظر از سال ۱۳۶۹ تا ۱۳۹۲ بر اساس طرح جامع مصوب با كاربري مسكوني داخل محدوده شهر واقع بوده‌ اند، به لحاظ ساير ملاحظات و مولفه‌ هاي شهرسازي نظير دسترسي به زيرساخت مناسب، همجواري بلافصل به محدوده، شيب و توپوگرافي مناسب، شبكه معابر مناسب، عدم همجواري با كاربري‌ هاي مزاحم و خطرزاي شهري و.... داراي قابليت توسعه شهري هستند. لذا چنانچه بر اساس استعلامات مذكور امكان توسعه شهري و احداث بنا در اراضي ميسر بود، طرح جامع اراضي ۱۴۷ هكتاري با رعايت ملاحظات زير و با جمعيت ‌پذيري قريب به سي هزار نفر، توسط مهندسين مشاور ذيصلاح تهيه و پس از تأييد شوراي برنامه ‌ريزي و توسعه استان، جهت تصويب نهايي در چارچوب آيين نامه نحوه بررسي و تصويب طرح‌ هاي توسعه و عمران به كميته فني و متعاقباً شوراي عالي ارائه شود: ـ رعايت حريم و بستر آبراهه‌ ها، مسيل ‌ها و قنوات متداخل با عرصه الحاقي در طرح تفكيكي ـ اخذ تأييد از آب منطقه‌ اي استان مبني بر امكان تامين آب در انطباق با جمعيت ‌پذيري نهايي (با عنايت به آخرين اعلام نظر مورخ 21 /3 /1400 آن مرجع مبني بر عدم امكان تامين در وضع فعلي) ـ رعايت حريم و حاشيه قانوني آزادراه عبوري از سمت شرقي زمين ـ تامين سرانه خدماتي در همه سطوح (محله تا شهر) به طور كامل مطابق با مصوبه تدقيق سرانه‌ هاي مصوب شوراي عالي توضيح اينكه اين مكاتبه جهت استحضار آن مرجع محترم از مفاد تصميات متخذه در شوراي عالي انجام مي‌ گيرد و مراتب اعلام رسمي موافقت يا مخالف شوراي عالي شهرسازي و معماري ايران با الحاق اراضي مذكور متعاقب اخذ پاسخ استعلام مذكور در فرازهاي "" الف "" و ""ب "" مصوبه انجام خواهد گرفت. معاون شهرسازي و معماري و دبير شوراي عالي شهرسازي و معماري ايران ـ فرزانه صادق ‌مالواجرد"
7,مصوبه شوراي عالي شهرسازي ومعماري ايران در خصوص طرح تفصيلي ويژه بافت پيرامون دانشگاه تهران,1401/03/16,شوراي عالي شهرسازي و معماري ايران,https://qavanin.ir/Law/TreeText/299702,"مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص طرح تفصيلي ويژه بافت پيرامون دانشگاه تهران مصوب 1401,03,16 با اصلاحات و الحاقات بعدي شوراي عالي شهرسازي و معماري ايران در جلسه مورخ 16 /3 /1401 گزارش دبيرخانه شوراي عالي در خصوص نحوه اجرايي شدن مفاد مصوبه مورخ 21 /4 /1400 شوراي عالي (موضوع نامه شماره 300 /53983 مورخ 28 /4 /1400) در خصوص طرح تفصيلي اراضي پيرامون دانشگاه تهران را با حضور رئيس شوراي اسلامي شهر تهران استماع نمود و ضمن تأكيد بر ضرورت اجراي هر چه سريع‌ تر مصوبه و عدم وجاهت قانوني هرگونه تاخير در تهيه طرح تفصيلي بافت پيرامون دانشگاه تهران، مقرر نمود تكاليف قانوني شهرداري تهران در اجراي مصوبه شوراي عالي توسط دبير شوراي عالي پي گيري شود و در صورت عدم حصول نتيجه، دبيرخانه شوراي عالي با استفاده از ظرفيت مشاورين ذيصلاح رأساً نسبت به تهيه طرح تفصيلي ويژه مذكور اقدام و نتيجه را به شوراي عالي ارائه نمايد. معاون شهرسازي و معماري و دبير شوراي عالي شهرسازي و معماري ايران ـ فرزانه صادق‌ مالواجرد"
8,مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص طرح امكان سنجي و مكان يابي شهرك هاي مسكوني استان البرز,1401/03/16,شوراي عالي شهرسازي و معماري ايران,https://qavanin.ir/Law/TreeText/299706,"مصوبه شوراي عالي شهرسازي و معماري ايران در خصوص طرح امكان ‌سنجي و مكان ‌يابي شهرك‌ هاي مسكوني استان البرز مصوب 1401,03,16 با اصلاحات و الحاقات بعدي شوراي عالي شهرسازي و معماري ايران در جلسه مورخ 16 /3 /1401 پيرو جلسه مورخ 5 /2 /1401 خود و جلسه مورخ 31 /2 /1401 كميته فني مشترك شماره 4 و 5 و مصوبه مورخ 5 /12 /1400 و 24 /2 /1401 شوراي برنامه ‌ريزي و توسعه استان البرز و بنا بر درخواست اداره كل راه و شهرسازي استان البرز، موضوع ""طرح امكان سنجي و مكان ‌يابي شهرك‌ هاي مسكوني استان البرز"" را در راستاي قانون جهش توليد مسكن و دستورالعمل ترويج شهرك ‌سازي كشور مصوب 8 /2 /1399 شوراي عالي و ميزان سهميه استان البرز پيرو ابلاغ برنامه استاني نهضت ملي مسكن در سال 1400 مبني بر آغاز عمليات اجرايي براي تأمين 80457 واحد مسكوني، مورد بررسي قرار داده و ضمن تأكيد بر استفاده از ساير ظرفيت ‌هاي قانوني جهش توليد مسكن شامل محلات هدف بازآفريني شهري، استفاده از اراضي مازاد دولتي متعلق به ساير دستگاه‌ ها واقع در داخل محدوده و با تأكيد بر موارد زير: ـ تخصيص ظرفيت شهرك ‌هاي مورد تأييد، صرفاً به تأمين كمبود مسكن و جمعيت موجود و واجد شرايط قانوني در چهارچوب قانون جهش توليد مسكن ـ ضرورت تأييد امكان تأمين تاسيسات زيربنايي(آب، فاضلاب، برق و گاز) از سوي دستگاه‌ هاي مسئول ذيربط ـ عدم نياز به احداث هرگونه جاده بين شهري جديد براي شهرك‌ هاي پيشنهادي. 1 ـ با پيشنهاد احداث شهرك‌ ها در سه موضع به شرح ذيل موافقت گرديد: الف ـ گزينه N1 (اقباليه) به مساحت پانصد هكتار واقع در شهرستان نظرآباد جهت ساخت شهرك مسكوني با ظرفيت جمعيت‌ پذيري ۳۰ هزار نفر ب ـ گزينه N3 (صالحيه) به مساحت دويست و بيست هكتار واقع در شهرستان نظرآباد جهت ساخت شهرك مسكوني با ظرفيت جمعيت ‌پذيري ۲۳ هزارنفر و تعداد ۶۹۰۰ واحد مسكوني. ج ـ گزينه E2 (فردآباد) به مساحت پانصد هكتار واقع در شهرستان اشتهارد با ظرفيت جمعيت‌ پذيري ۳۰ هزار نفر. لذا مقرر گرديد نقشه‌ هاي طرح جامع شهرك‌ هاي موضوع بندهاي الف ـ ب ـ ج با رعايت ملاحظات زير تهيه و پس از تصويب در مراجع قانوني استاني به تأييد كميته تخصصي مقررات، لوايح و سياست‌ گذاري شوراي عالي شهرسازي و معماري ايران برسد. • سرانه‌ هاي خدماتي مطابق با مصوبه ""تدقيق تعاريف و مفاهيم كاربري‌ هاي شهري و تعيين سرانه آن ‌ها "" مصوب 10 /3 /1389 شوراي عالي شهرسازي و معماري ايران تأمين شود. • حريم و بستر كليه مسيل‌ ها و آبراهه‌ هاي متداخل با محدوده اراضي، بنابر اعلام نظر شركت آب منطقه‌ اي در نقشه ‌هاي طرح جامع لحاظ شود. • مطالعات پدافند غيرعامل در انطباق با دستورالعمل الزامات و ملاحظات دفاعي و پدافند غيرعامل مصوب 11 /2 /1396 شوراي عالي در اسناد طرح لحاظ شود. • بهره‌ مندي از الگوي بومي ساخت و ساز و استفاده از مصالح طبيعي و بومي در احداث ابنيه مورد تأكيد است. 2 ـ در خصوص سايت پيشنهادي S1 اراضي موسوم به فخر ايران به مساحت 900 هكتار واقع در حريم شهر جديد هشتگرد مقرر شد در صورت حصول توافق بين وزارتين دفاع و پشتيباني نيروهاي مسلح و راه و شهرسازي در راستاي استفاده از اراضي مذكور در قالب نهضت ملي مسكن، مراتب موافقت شوراي عالي با الحاق اين اراضي به محدوده شهر توسط دبير شوراي عالي اعلام و طرح جامع محدوده مورد نظر با تأمين سرانه‌ هاي عمومي و خدماتي و متوسط جمعيت‌ پذيري مطابق با طرح جامع ملاك عمل شهر جديد توسط شركت مادر تخصصي عمران شهرهاي جديد تهيه و به تصويب شوراي عالي برسد. با عنايت به مكاتبه شماره 1401 /5874 /ص /1034 مورخ 25 /4 /1401 (پيوست) شركت مادرتخصصي عمران شهرهاي جديد مبني حصول توافق با وزارت دفاع و پشتيباني نيروهاي مسلح، بدينوسيله و در اجراي تكليف مقرر در مصوبه، مراتب موافقت شوراي عالي با الحاق اراضي مذكور به محدوده شهر جديد اعلام ميگردد. ۳ ـ در خصوص سايت پيشنهادي S3 اراضي دولتي موسوم به رمنده و حلقه دره به مساحت ۷۰۰ هكتار واقع در ساوجبلاغ مقرر گرديد طرح جامع در انطباق با دستورالعمل ترويج شهرك‌ سازي تحت عنوان شهرك ""تخصصي ـ اقامتي"" تهيه و مصوبات قانوني لازم مطابق دستورالعمل مذكور اخذ گردد. مراتب جهت استحضار و صدور دستور انعكاس و اقدام اعلام مي ‌شود. معاون شهرسازي و معماري و دبير شوراي عالي شهرسازي و معماري ايران ـ فرزانه صادق ‌مالواجرد"
9,تعيين مبلغ كمك هزينه مسكن كارگران مشمول قانون كار از ابتداي فروردين ماه سال 1401,1401/03/11,هيات وزيران,https://qavanin.ir/Law/TreeText/298274,"تعيين مبلغ كمك هزينه مسكن كارگران مشمول قانون كار از ابتداي فروردين ماه سال 1401 مصوب 1401,03,11 با اصلاحات و الحاقات بعدي هيئت وزيران در جلسه 11 /3 /1401 به پيشنهاد شوراي عالي كار و تأييد سازمان برنامه و بودجه كشور و به استناد ماده (2) اصلاحي قانون راجع به طبقه بندي مشاغل و برقراري كمك هزينه مسكن كارگري – مصوب 1370 – تصويب كرد: كمك هزينه مسكن كارگران مشمول قانون كار از ابتداي فروردين ماه سال 1401، ماهانه مبلغ پنج ميليون و پانصد هزار (000 /500 /5) ريال تعيين مي شود. محمد مخبر معاون اول رييس جمهور"
10,اصلاح بند (3) تصويب نامه شماره 21487 /ت 59826 هـ مورخ 15 /02 /1401 [تصويب نامه در خصوص ضريب حقوق اعضاي هيأت علمي دانشگاه ها و مؤسسات آموزش عالي و قضات و ضريب حقوق شاغلين مشمول قانون مديريت خدمات كشوري],1401/03/11,هيات وزيران,https://qavanin.ir/Law/TreeText/298278,"اصلاح بند (3) تصويب نامه شماره 21487 /ت 59826 هـ مورخ 15 /02 /1401 [تصويب نامه در خصوص ضريب حقوق اعضاي هيأت علمي دانشگاه ها و مؤسسات آموزش عالي و قضات و ضريب حقوق شاغلين مشمول قانون مديريت خدمات كشوري] مصوب 1401,03,11 با اصلاحات و الحاقات بعدي  هيأت وزيران در جلسه 11/ 3/ 1401 به پيشنهاد سازمان اداري و استخدامي كشور و به استناد اصل يكصد و سي و هشتم قانون اساسي جمهوري اسلامي ايران تصويب كرد: تبصره (2) بند (3) تصويب نامه شماره 21487/ ت 59826هـ مورخ 15/ 2/ 1401 به شرح زير اصلاح و يك تبصره به عنوان تبصره (3) به بند مذكور الحاق مي شود: تبصره 2- رشد حقوق، مزايا و فوق العاده هاي مشمولان قانون كار كه در دستگاه هاي اجرايي مشغول به كار هستند، تابع ضوابط مقرر در قانون كار خواهد بود. تبصره 3- تبصره ماده (124) قانون مديريت خدمات كشوري در خصوص مشمولان اين تبصره لازم الرعايه است. معاون اول رئيس جمهور - محمد مخبر"
