,title,date,authority,link,desc
0,مصوبه سيصد و هشتاد و هشتمين جلسه هيات واگذاري,1401/04/20,هيات واگذاري سازمان خصوصي سازي,https://qavanin.ir/Law/TreeText/298786,"مصوبه سيصد و هشتاد و هشتمين جلسه هيات واگذاري مصوب 1401,04,20 با اصلاحات و الحاقات بعدي سيصد و هشتاد و هشتمين جلسه هيأت واگذاري رأس ساعت 14:30 روز دوشنبه مورخ 20 /04 /1401 در محل سالن جهاد اقتصادي وزارت امور اقتصادي و دارايي تشكيل و در خصوص موارد زير اتخاذ تصميم صورت پذيرفت: 1- گزارش سازمان خصوصي سازي با موضوع «اولويت هاي مرتبط با برنامه عملياتي واگذاري ها در سال جاري» مرتبط با تكاليف مقرر در قانون بودجه سال 1401 و موارد خارج از قانون مذكور به استماع اعضاء رسيد. همچنين مقرر شد ضمن انجام حسابرسي ويژه از شركت «كشت و صنعت و دامپروري مغان»،‌ شركت ياد شده در اولويت واگذاري قرار گيرد. 2- موضوع انحلال شركت «دربيد (سهامي خاص)» مطرح و در اجراي بند (و) ماده (19) قانون اجراي سياست هاي كلي اصل (44) قانون اساسي، با انحلال شركت مذكور موافقت شد. (نماينده دستگاه ذيربط آقاي يگانه) 3- «بخشودگي خسارت تأخير تأديه قرارداد واگذاري شركت ايران ترانسفو موضوع بند «11» مصوبه جلسه مورخ 12 /06 /1397 هيأت واگذاري» مطرح و جمع بندي نهايي به جلسه آتي هيأت موكول شد. اين تصويب نامه در اجراي قسمت اخير ماده (39) قانون اجراي سياست هاي كلي اصل (44) قانون اساسي ابلاغ مي گردد. سيداحسان خاندوزي"
1,بخشنامه گمرك در خصوص شركت آرام سيكلت,1401/04/18,گمرك ايران,https://qavanin.ir/Law/TreeText/191817,"بخشنامه گمرك در خصوص شركت آرام سيكلت مصوب 1401,04,18 با اصلاحات و الحاقات بعدي    با سلام و احترام،‌ به پيوست تصوير نامه شماره 80689 /60 مورخ 28 /3 /1401 دفتر صنايع خودرو وزارت صنعت، معدن تجارت موضوع نامه شماره 1255 /01 مورخ 22 /12 /1400 شركت مهندسين مشاور صنعت و مديريت پويا، بهمراه يك جلد دفترچه حاوي اطلاعات ميزان ساخت داخل (IPI) موتور سيكلت برقي مدل MADO230 طبق جدول ذيل نامه صدرالاشاره مربوط به شركت آرام سيكلت ما دو نفر به شناسنامه ملي 14008540444 و به ميزان 88 /41 درصد ساخت داخل جهت محاسبه حقوق ورودي مربوط قطعات منفصله مطابق پروفرم هاي مربوطه در قالب فصل 98 كتاب مقررات صادرات و واردات اعلام ضمنا تاريخ اعتبار تعيين شده تا پايان شهريور ماه سال 1401 مي باشد. خواهشمند است دستور فرمائيد پس از انطباق دقيق كالاي وارده با فهرست كالايي مندرج در IPI با رعايت كامل مقررات اقدام نمايند. علي وكيلي مديركل دفتر واردات نامه شماره 80689 /60 مورخ 28 /3 /1401 نامه شماره 1255 /01 مورخ 22 /12 /1400 صفحه 3"
2,بخشنامه گمرك در خصوص ضوابط صادرات شلتوك برنج,1401/04/18,گمرك ايران,https://qavanin.ir/Law/TreeText/298476,"بخشنامه گمرك در خصوص ضوابط صادرات شلتوك برنج مصوب 1401,04,18 با اصلاحات و الحاقات بعدي  با سلام، پيرو بخشنامه شماره 1073771 /98 مورخ 20 /8 /98 موضوع ضوابط صادرات شلتوك برنج به پيوست تصوير نامه شماره 253 /2128 مؤسسه تحقيقات ثبت و گواهي بذر و نهال وزارت جهاد كشاورزي ارسال ميگردد. دستور فرماييد مطابق مفاد نامه موصوف و با عنايت به ضوابط قانوني تصريح شده در آن نامه، در زمان انجام تشريفات صادرات هر كالايي كه تحت عنوان «شلتوك برنج» اظهار گرديده است (اعم از اينكه تحت كد طبقه بندي 10061010 يا 10061090 اظهار شده باشد)، ضمن رعايت كليه ضوابط و مقررات مربوطه، نسبت به اخذ گواهي مؤسسه تحقيقات، ثبت و گواهي بذر و نهال (وزارت جهاد كشاورزي) اقدام نمايند. ضمناً اقدام لازم جهت معرفي نماينده و ايجاد سطح دسترسي در سامانه جامع امور گمركي جهت صدور تأييديه هاي سيستمي توسط نماينده معرفي شده از طريق مؤسسه موصوف در حال پيگيري است و متعاقباً نتيجه به كليه گمركات اجرايي كشور ابلاغ خواهد شد. علي اكبر شاماني مديركل دفتر صادرات نامه شماره 253 /2128 مؤسسه تحقيقات ثبت و گواهي بذر و نهال وزارت جهاد كشاورزي"
3,بخشنامه سازمان امور مالياتي در خصوص ترتيبات اجرايي صدور گواهي موضوع ماده 186 قانون ماليات هاي مستقيم,1401/04/18,سازمان امور مالياتي,https://qavanin.ir/Law/TreeText/298477,"بخشنامه سازمان امور مالياتي در خصوص ترتيبات اجرايي صدور گواهي موضوع ماده 186 قانون ماليات هاي مستقيم مصوب 1401,04,18 با اصلاحات و الحاقات بعدي  بر مبناي اختيارات حاصل از تبصره (1) ماده (219) قانون ماليات هاي مستقيم و در راستاي تسهيل و تسريع فرآيند صدور گواهي موضوع ماده (186) قانون مذكور، ترتيبات اجرايي به شرح زير مقرر مي گردد: ماده 1): تعاريف 1 – سازمان: سازمان امور مالياتي كشور. 2 – ق.م.م: قانون ماليات هاي مستقيم مصوب 03 /12 /1366 و اصلاحات بعدي آن. 3 – ق.م.ا: قانون ماليات بر ارزش افزوده مصوب 02 /03 /1400 4 – گواهي مالياتي: گواهي مالياتي موضوع ماده 186 قانون ماليات هاي مستقيم مبني بر بلامانع بودن صدور با تجديد يا تمديد كارت بازرگاني و پروانه كسب يا كار براي اشخاص حقيقي يا حقوقي از طرف مراجع صلاحيت دار 5 – سامانه: سامانه صدور الكترونيكي گواهي هاي مالياتي. 6 – مراجع قانوني: اتاق هاي بازرگاني، صنايع، معادن و كشاورزي، اتاق هاي تعاون،‌ اتاق هاي اصناف و ساير مراجع قانوني صلاحيت دار صادركننده كارت بازرگاني با مجوز كسب يا كار. 7 – استعلام: استعلام مراجع قانوني صلاحيت دار از اداره امور مالياتي ذيربط در اجراي تكليف مقرر در صدر ماده 186 ق.م.م 8 – دفتر امور موديان: دفتر امور موديان و خدمات مالياتي معاونت درآمدهاي مالياتي. 9 – بدهي مالياتي: بدهي قطعي شده اعم از اصل ماليات و عوارض و جرايم متعلقه؛ وفق قوانين و مقررات مالياتي اعم از ماليات هاي مستقيم، ماليات بر ارزش افزوده و ساير قوانين مربوط. 10 – پنجره واحد: درگاه ملي خدمات الكترونيكي سازمان امور مالياتي كشور به آدرس: My.tax.gov.ir ماده 2): تعيين قواعد و مقررات مربوط به صدور گواهي مالياتي نحوه دريافت و پاسخگويي به استعلام، مواعد زماني مربوط و وظايف سازمان و ماموران مالياتي، در اين دستورالعمل مقرر شده است. تعيين مقررات، قواعد، ترتيبات و رويه هاي مربوط به ايجاد و توسعه سامانه، نظارت بر بهره برداري از آن،‌ بهبود مستمر فرآيندهاي كاري و تدوين دستورالعمل هاي مربوط بر عهده دفتر امور موديان مي باشد. پياده سازي، پشتيباني و به روزآوري سامانه مورد نياز، بر عهده ادارات كل و دفاتر ذيربط در معاونت فناوري اطلاعات است. ماده 3): پيش شرط دريافت استعلام و صدور گواهي مالياتي با عنايت به قوانين و مقررات مالياتي از جمله ماده 169 ق.م.م آيين نامه اجرائي مربوط و ماده 16 قانون پايانه هاي فروشگاهي و سامانه موديان،‌ دريافت استعلام و صدور گواهي مالياتي براي تمام اشخاص حقوقي و صاحبان مشاغل، منوط به داشتن /تشكيل پرونده فعال در نظام مالياتي است ثبت نام مالياتي اشخاص حقيقي متقاضي كارت بازرگاني، بايد به عنوان بازرگان باشد. ماده 4) روش هاي دريافت استعلام تمامي مراحل دريافت استعلام،‌ تهيه پاسخ و ارسال آن به مراجع قانوني، صرفاً بايد به صورت الكترونيكي حسب مورد از طريق ارتباط مبتني بر وب سرويس و يا ايجاد امكان ثبت الكترونيكي استعلام از طريق كارپوشه اي مخصوص در پنجره واحد سازمان، انجام شود. ارسال استعلام غيرالكترونيك، در حكم عدم استعلام بوده و فاقد وجاهت مي باشد. تبصره(الحاقي 17ˏ10ˏ1401): امكان ثبت الكترونيكي استعلام از طريق كارپوشه در پنجره واحد براي مودي نيز وجود دارد. همزمان با صدور پاسخ استعلام (اعم از صدور گواهي يا اعلام عدم امكان صدور گواهي) مراتب از طريق پيامك به مودي اطلاع رساني و اطلاعات پاسخ صادره بر روي پنجره واحد براي مودي و نيز براي مرجع ذيربط بارگذاري مي شود. به علاوه امكان اصالت سنجي پاسخ استعلام براي مرجع ذيربط فراهم مي باشد. ماده 5): بدهي مالياتي قابل وصول جهت صدور گواهي مالياتي 1 – در مورد اشخاص حقوقي،‌ تمامي بدهي مالياتي قطعي شناسايي شده در سامانه هاي عملكردي يا وصول و اجراء مربوط به پرونده مالياتي شخص حقوقي شامل بدهي هاي مربوط به ماليات بر درآمد، ماليات بر ارزش افزوده، ماليات هاي تكليفي و حقوق، ماليات حق تمبر و جرائم مالياتي متعلقه مقرر در قوانين و مقررات مربوط جهت صدور گواهي مالياتي بايد وصول گردد. 2 – در مورد صاحبان مشاغل، بدهي هاي مالياتي در منبع ماليات بر درآمد مشاغل (موضوع فصل چهارم باب سوم ق.م.م) ماليات بر ارزش افزوده و حسب مورد،‌ ماليات هاي تكليفي،‌ حقوق و نيز جرائم مالياتي متعلقه مقرر در قوانين و مقررات مربوط ، به تفكيك بدهي هاي شناسايي شده در سامانه هاي عملكردي و سامانه وصول و اجرا به ترتيب زير مي بايست وصول گردد: 1 – 2 – در مورد بدهي هاي شناسايي شده در سامانه هاي عملكردي، صرفاً بدهي هاي مالياتي مربوط به واحد كسبي مورد استعلام، ملاك عمل مي باشد. 2 – 2 – در مورد بدهي هاي شناسايي شده در سامانه وصول و اجرا يا بخش وصول و اجراي سامانه سنيم: تمامي بدهي هاي شناسايي شده فارغ از فعاليت كسبي، ملاك عمل مي باشد. 3 – در مشاركت هاي مدني بدهي هاي مالياتي مذكور در بند (2) اين ماده براي تمامي شركا بايد ملاك عمل قرار گيرد. تبصره 1): بدهي هاي مالياتي اشخاص ثالث در محلي كه متقاضي به نشاني آن، درخواست صدور گواهي مالياتي نموده است (جز در صورت وجود تعهد و مسئوليت قانوني براي متقاضي، بر اساس مقررات ماده 182 ق.م.م يا قسمت اخير ماده 22 ق.م.ا ) مانع صدور گواهي مالياتي براي متقاضي نيست. تبصره 2) : در مواردي كه مودي از رأي قطعي هيأت حل اختلاف مالياتي به شوراي عالي مالياتي يا ديوان عدالت اداري شكايت نمايد. چنانچه رأي مورد شكايت،‌ از طرف اين مراجع،‌ نقض شده باشد، بدهي مالياتي تا زمان صدور رأي هيأت موضوع ماده (257) ق.م.م (هيات هم عرض) قطعي نبوده و مانع صدور گواهي مالياتي نخواهد بود. تبصره 3): چنانچه ماليات به قطعيت رسيده باشد، ليكن پرونده در شوراي عالي مالياتي در دست رسيدگي باشد، چنانچه مؤدي به ميزان ماليات مورد رأي وجه نقد يا تضمين بانكي بسپرد و يا وثيقه ملكي معرفي كند يا ضامن معتبر كه اعتبار ضامن مورد قبول اداره امور مالياتي باشد، معرفي نمايد (رعايت مقررات ماده 259 ق.م.م) صدور گواهي مالياتي بلامانع است. ماده 6 – فرآيند و مواعد پاسخ به استعلام پس از دريافت استعلام مراجع قانوني،‌ بدهي هاي مالياتي به صورت سيستمي بررسي و به شرح زير اقدام خواهد شد: 1 – چنانچه بدهي مالياتي براي مودي شناسايي نشود، گواهي مالياتي به صورت سيستمي صادر و براي مراجع ذيربط ارسال مي شود. 2 – چنانچه بدهي مالياتي براي مودي شناسايي شود،اقدامات زير به صورت همزمان انجام مي شود: 1 – 2 – مراتب وجود بدهي مالياتي به صورت سيستمي به مراجع قانوني مربوط اعلام مي شود. 2 – 2 – مراتب وجود بدهي از طريق پيامك به مودي اعلام و همزمان فهرست بدهي مالياتي به تفكيك سال 0 منبع / موضوع و مبلغ بدهي مالياتي در پنجره واحد بارگذاري مي گردد. 3 – مودي مكلف است ظرف مدت 10 روز از زمان اعلام بدهي مالياتي،‌ با مراجعه به پنجره واحد، نسبت به پرداخت / ترتيب پرداخت بدهي مالياتي اعلام شده يا حسب مورد ارائه مدارك پرداخت هاي قبلي ثبت نشده در سيستم،‌ اقدام نمايد. پس از اقدام مودي، حداكثر ظرف مدت سه روز كاري بررسي هاي لازم انجام، گواهي مالياتي بصورت سيستمي صادر و براي مرجع قانوني استعلام كننده ارسال مي شود. 4 – چنانچه مودي ظرف مهلت 10 روز اقدامي جهت پرداخت / ترتيب پرداخت بدهي هاي اعلام شده به عمل نياورد، پاسخ لازم مبني بر عدم امكان صدور گواهي مالياتي به صورت سيستمي با ذكر ميزان بدهي مالياتي صادر و براي مراجع قانوني ارسال مي شود. 5 – همزمان با صدور پاسخ استعلام براي مراجع قانوني (اعم از صدور گواهي يا اعلام عدم امكان صدور گواهي) مرتب از طريق پيامك به مودي اطلاع رساني و اطلاعات پاسخ صادره (در قالب فرم استاندارد مربوط) بر روي پنجره واحد براي مودي بارگذاري مي شود. تبصره- در مواردي كه طبق قوانين و مقررات مربوط، مواعد زماني كوتاهتري براي پاسخگويي به استعلام تعيين شده باشد، اين مواعد بايد ملاك عمل قرار گيرد. ماده 7): اعتبار گواهي مالياتي گواهي مالياتي صادره در اجراي اين دستورالعمل، به مدت سه ماه از تاريخ صدور داراي اعتبار بوده و صرفاً براي مراجع قانوني استعلام كننده قابل استناد مي باشد. اين گواهي، مفاصا حساب مالياتي محسوب نمي شود. ماده 8): ابلاغ دستورالعمل اين دستورالعمل،‌ در (8) ماده و (4) تبصره تهيه شده و از تاريخ 01 /07 /1401 لازم الاجرا مي باشند. داود منظور"
4,اضافه شدن اعضاي شوراي عالي امور ايرانيان خارج از كشور,1401/04/15,هيات وزيران,https://qavanin.ir/Law/TreeText/191588,"اضافه شدن اعضاي شوراي عالي امور ايرانيان خارج از كشور مصوب 1401,04,15 با اصلاحات و الحاقات بعدي  هيئت وزيران در جلسات 22 /3 /1401 و 15 /4 /1401 به پيشنهاد شماره1160832 /711 مورخ 11 /2 /1401 وزارت امور خارجه و به استناد اصل يكصد و سي و هشتم قانون اساسي جمهوري اسلامي ايران تصويب كرد: رييس ستاد كل نيروهاي مسلح يا معاون نيروي انساني و مشمولان ستاد كل به نمايندگي از ايشان، معاون علمي و فناوري رييس جمهور، دادستان كل كشور، معاون امور بين الملل و دبير ستاد حقوق بشر قوه قضاييه، رييس سازمان اطلاعات سپاه پاسداران انقلاب اسلامي، رييس كميسيون امنيت ملي و سياست خارجي مجلس شوراي اسلامي، رييس سازمان فرهنگ و ارتباطات اسلامي، مدير حوزه هاي علميه و رييس بنياد سعدي به تركيب اعضاي شوراي عالي امور ايرانيان خارج از كشور موضوع بند (1) تصويب نامه شماره 22355 /ت28798هـ مورخ 4 /9 /1382 و اصلاحات بعدي آن اضافه مي شوند. محمد مخبر معاون اول رييس جمهور"
